MVNAME,OBO,WD,UA_0.5W_T,UA_0.5W_M24,UA_0.5W_M26,UA_0.5W_F24,UA_0.5W_F26,TA_0.5W_T,TA_0.5W_M24,TA_0.5W_M26,TA_0.5W_F24,TA_0.5W_F26,DI_0.5W_T,DI_0.5W_M24,DI_0.5W_M26,DI_0.5W_F24,DI_0.5W_F26,FC_0.5W_T,FC_0.5W_M24,FC_0.5W_M26,FC_0.5W_F24,FC_0.5W_F26,FCO_0.5W_T,FCO_0.5W_M24,FCO_0.5W_M26,FCO_0.5W_F24,FCO_0.5W_F26,NM_0.5W_T,NM_0.5W_M24,NM_0.5W_M26,NM_0.5W_F24,NM_0.5W_F26,Year,MVID,GENRE1,GENRE2,STUDIO,RATING,DATE,MONTH,WKNDDAY,WKNM,WKNDGRS,WKGRS,SCRNS,PER_SCN,RANK,HOLIDAY,PERCENT,GRS,WW_GRS
BLENDED,17.7,4,20,20,18,20,23,76,71,75,73,84,31,29,23,32,37,5,5,3,6,6,10,7,5,14,14,NA,NA,NA,NA,NA,2014,45005,ROMANTIC COMEDY,ABOUT FAMILY,WARNER BROS.,PG-13,5/23/2014 1:00,5,4,1,17735205,21206536,3555,4989,3,MEMORIAL DAY,NA,46280507,NA
BORN IN CHINA,4.8,3,6,6,5,5,8,55,53,54,54,57,30,29,29,29,32,2,3,3,2,2,6,5,8,7,6,2,0,2,1,2,2017,62634,DOCUMENTARY,ANIMAL THEME,DISNEY,G,4/21/2017 1:00,4,3,1,4790367,6434031,1508,3177,6,NA,NA,13861554,NA
BOYHOOD,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,47553,HUMN INTST DRMA,ABOUT FAMILY,IFC FILMS,R,8/15/2014 1:00,8,3,6,1992448,3011586,771,2584,11,NA,1,25361987,NA
BRICK MANSIONS,9.5,3,10,11,10,10,9,54,57,61,46,50,39,46,34,41,35,6,7,7,3,5,10,18,10,7,7,NA,NA,NA,NA,NA,2014,45409,ACTION DRAMA,CRIME THEME,RELATIVITY MEDIA,PG-13,4/25/2014 1:00,4,3,1,9516855,11937316,2647,3595,5,NA,NA,20358687,NA
BRIDGE OF SPIES,15.4,3,14,14,16,11,16,64,63,78,51,66,44,42,52,33,45,7,5,10,4,7,12,11,21,7,10,2,2,2,1,2,2015,48698,HUMN INTST DRMA,REAL EVENTS,DISNEY,PG-13,10/16/2015 1:00,10,3,1,15371203,21216197,2811,5468,3,NA,NA,72306065,NA
BRIDGET JONES'S BABY,8.6,3,16,14,13,18,20,76,63,72,80,87,27,24,19,27,35,6,2,4,4,14,14,5,10,16,25,1,0,1,1,3,2016,47325,ROMANTIC COMEDY,WORKPLACE SETTING,UNIVERSAL,R,9/16/2016 1:00,9,3,1,8571785,11937675,2927,2929,3,NA,NA,24089465,NA
BROKEN CITY,9.5,4,9,9,9,7,9,59,58,72,47,61,37,36,41,28,37,5,4,6,2,7,6,6,7,3,9,NA,NA,NA,NA,NA,2013,41058,HUMN INTST DRMA,POLITICAL,20TH CENTURY FOX,R,1/18/2013 0:00,1,4,1,9549459,11269989,2620,3645,5,MARTIN LUTHER KING,NA,19692608,NA
BULLET TO THE HEAD,4.5,3,10,10,15,7,8,60,65,78,40,57,31,34,37,22,25,4,7,5,2,1,13,18,21,4,6,NA,NA,NA,NA,NA,2013,40196,ACTION DRAMA,CRIME THEME,WARNER BROS.,R,2/1/2013 0:00,2,3,1,4548201,6191022,2404,1892,6,SUPERBOWL,NA,9483821,NA
BURNT,5,3,12,13,11,10,14,60,56,66,51,68,27,28,29,24,28,4,3,3,4,5,6,7,5,5,6,2,2,1,1,3,2015,48703,HUMN INTST DRMA,INDIE,THE WEINSTEIN COMPANY,R,10/30/2015 1:00,10,3,1,5002521,7208287,3003,1666,6,NA,NA,13651946,NA
CAPTAIN AMERICA: CIVIL WAR,179.1,3,52,51,56,52,47,96,96,98,96,93,69,76,78,61,60,35,42,41,27,28,57,62,65,53,49,31,34,40,25,25,2016,45495,ACTION ADVENTURE,SUPERHERO,DISNEY,PG-13,5/6/2016 1:00,5,3,1,179139142,223329078,4226,42390,1,NA,NA,408080554,NA
CAPTAIN AMERICA: THE WINTER SOLDIER,95,3,40,42,46,33,38,94,97,96,90,94,63,71,71,56,51,28,38,38,18,19,39,51,47,28,29,NA,NA,NA,NA,NA,2014,40592,ACTION ADVENTURE,SUPERHERO,DISNEY,PG-13,4/4/2014 1:00,4,3,1,95023721,117608171,3938,24130,1,NA,NA,259743958,NA
CAPTAIN PHILLIPS,25.7,3,17,18,19,13,17,76,71,91,64,81,43,43,44,38,48,14,11,20,10,16,20,16,27,18,21,NA,NA,NA,NA,NA,2013,41468,HUMN INTST DRMA,REAL EVENTS,COLUMBIA PICTURES,PG-13,10/11/2013 1:00,10,3,1,25718314,36030235,3020,8516,2,COLUMBUS DAY,NA,107100855,NA
CAPTAIN UNDERPANTS: THE FIRST EPIC MOVIE,23.9,3,20,17,14,25,25,83,82,79,89,84,31,36,26,32,32,4,3,2,4,5,8,9,6,8,11,3,3,2,4,5,2017,48657,FAMILY,ANIMATED,20TH CENTURY FOX,PG,6/2/2017 1:00,6,3,1,23851539,32262512,3434,6946,2,NA,NA,73920842,NA
CAPTIVE (2015),1.4,3,5,5,6,6,4,43,42,49,37,46,30,29,33,28,32,1,1,3,1,1,3,3,3,3,3,0,0,0,0,0,2015,62707,SUSPNS/THRILLER,CRIME THEME,PARAMOUNT,PG-13,9/18/2015 1:00,9,3,1,1393243,1780676,806,1729,11,NA,NA,2557668,NA
CARRIE (2013),16.1,3,20,20,16,24,18,82,75,83,85,85,38,39,35,48,31,11,8,7,18,9,20,18,16,30,18,NA,NA,NA,NA,NA,2013,42335,HORROR,REMAKE,SONY PICTURES,R,10/18/2013 1:00,10,3,1,16101552,20121355,3157,5100,3,NA,NA,35266619,NA
CARS 3,53.7,3,37,38,32,40,41,93,95,92,96,93,40,43,36,42,42,9,6,8,6,12,18,17,17,16,21,11,9,11,9,13,2017,65043,FAMILY,ANIMATED,DISNEY,G,6/16/2017 1:00,6,3,1,53688680,74707893,4256,12615,1,NA,NA,152888836,NA
CENTRAL INTELLIGENCE,35.5,3,22,21,23,23,22,76,80,81,66,77,46,53,42,46,43,9,10,10,6,9,16,18,23,7,15,3,3,5,3,3,2016,63066,ACTION COMEDY,ESPIONAGE,WARNER BROS.,PG-13,6/17/2016 1:00,6,3,1,35535250,50932458,3508,10130,2,NA,NA,127380061,NA
CESAR CHAVEZ,2.9,3,2,2,2,1,3,38,35,44,32,45,24,21,29,25,21,3,3,3,3,2,4,5,5,4,5,NA,NA,NA,NA,NA,2014,42495,HUMN INTST DRMA,BIOGRAPHICAL,LIONS GATE FILMS,PG-13,3/28/2014 1:00,3,3,1,2861528,3636095,664,4310,12,NA,NA,5550866,NA
CHAPPIE,13.3,3,19,19,21,18,16,71,71,82,65,65,41,50,44,31,38,11,15,17,5,5,18,21,30,12,11,NA,NA,NA,NA,NA,2015,45927,ACTION DRAMA,SCIENCE FICTION,SONY PICTURES,R,3/6/2015 0:00,3,3,1,13346782,17612761,3201,4170,1,NA,NA,31569268,NA
CHEF,2.6,3,7,7,8,7,8,39,35,44,35,42,17,16,15,17,19,2,0,3,0,3,4,3,4,1,4,NA,NA,NA,NA,NA,2014,45380,HUMN INTST CMDY,WORKPLACE SETTING,OPEN ROAD FILMS,R,6/6/2014 1:00,6,3,5,2621829,4038758,1298,2020,9,NA,37,31237529,NA
CHIPS (2017),7.7,3,16,14,20,13,18,69,65,77,56,73,32,34,34,30,32,3,5,4,2,4,4,4,5,2,3,2,3,3,1,2,2017,67077,ACTION COMEDY,COP/DETECTIVE,WARNER BROS.,R,3/24/2017 1:00,3,3,1,7722802,10312366,2464,3134,7,NA,NA,18591819,NA
CINDERELLA (2015),67.9,3,39,29,31,50,47,90,80,85,99,97,47,31,30,62,59,12,4,5,21,17,29,11,13,50,39,NA,NA,NA,NA,NA,2015,45494,FAMILY,LIVE ACTION,DISNEY,PG,3/13/2015 1:00,3,3,1,67877361,87549134,3845,17653,1,NA,NA,201148159,NA
CLOSED CIRCUIT,3.1,4,9,10,9,7,9,42,43,49,33,43,25,25,23,18,31,2,2,2,1,2,3,3,4,1,4,NA,NA,NA,NA,NA,2013,43705,SUSPNS/THRILLER,COURTROOM,FOCUS FEATURES,R,8/28/2013 1:00,8,4,1,3116885,4085514,870,3583,16,LABOR DAY,NA,5733310,NA
CLOUDY WITH A CHANCE OF MEATBALLS 2,34,3,29,24,26,31,35,89,87,81,94,94,42,42,36,46,45,12,14,8,16,13,22,22,19,29,22,NA,NA,NA,NA,NA,2013,42093,FAMILY,ANIMATED,SONY PICTURES,PG,9/27/2013 1:00,9,3,1,34017930,39056726,4001,8502,1,NA,NA,119793567,NA
COCO (2017),72.9,3,32,25,26,39,40,82,79,80,84,84,41,34,36,50,46,9,8,6,12,12,14,13,11,19,16,10,4,8,10,16,2017,62373,FAMILY,ANIMATED,DISNEY,PG,11/22/2017 0:00,11,3,1,50802605,82575404,3987,12742,1,THANKSGIVING,0,202702394,NA
COLLATERAL BEAUTY,7.1,3,16,12,13,18,20,73,66,77,68,80,38,39,36,38,41,6,3,5,6,8,16,12,11,13,25,2,1,2,3,4,2016,66311,HUMN INTST DRMA,TRAGEDY,WARNER BROS.,PG-13,12/16/2016 0:00,12,3,1,7102085,11001500,3028,2345,4,NA,NA,30982955,NA
COLLIDE,1.5,3,5,5,5,5,5,41,41,48,33,40,28,31,28,28,26,1,1,1,1,2,3,2,3,3,4,0,0,0,0,0,2017,49922,ACTION DRAMA,CRIME THEME,OPEN ROAD FILMS,PG-13,2/24/2017 0:00,2,3,1,1512824,2023034,2045,740,13,NA,NA,2196654,NA
CONCUSSION (2015),10.5,3,13,11,16,11,14,70,71,81,59,71,37,36,38,36,38,5,6,6,3,5,7,7,7,6,6,2,2,3,1,2,2015,62529,HUMN INTST DRMA,SPORTS,SONY PICTURES,PG-13,12/25/2015 0:00,12,3,1,10513749,17420369,2841,3701,7,CHRISTMAS,NA,34531832,NA
CREED,29.6,3,21,22,21,19,22,74,77,81,64,74,43,49,46,38,39,11,12,14,7,11,15,17,20,9,13,8,9,8,3,8,2015,62589,HUMN INTST DRMA,SPORTS,WARNER BROS.,PG-13,11/25/2015 0:00,11,3,1,29632823,49597556,3404,8705,3,THANKSGIVING,NA,109712885,NA
CRIMINAL (2016),5.8,3,10,10,11,9,8,51,47,64,39,58,37,37,39,32,37,6,5,8,4,8,8,7,11,5,9,2,1,2,2,2,2016,49937,ACTION DRAMA,CRIME THEME,LIONS GATE FILMS,R,4/15/2016 1:00,4,3,1,5767278,7764486,2683,2150,6,NA,NA,14688078,NA
CRIMSON PEAK,13.1,3,18,15,16,21,20,63,61,65,65,62,35,38,33,36,34,7,6,5,11,8,10,7,9,12,10,3,1,3,4,4,2015,44879,HORROR,SUPERNATURAL,UNIVERSAL,R,10/16/2015 1:00,10,3,1,13143310,16890775,2984,4405,4,NA,NA,31056945,NA
DADDY'S HOME (2015),38.7,3,21,17,19,23,23,78,79,76,74,85,44,48,35,46,45,7,8,4,7,7,8,12,6,9,8,3,3,2,4,4,2015,63875,HUMN INTST CMDY,ABOUT FAMILY,PARAMOUNT,PG-13,12/25/2015 0:00,12,3,1,38740203,64684278,3271,11844,2,CHRISTMAS,NA,150315155,NA
DADDY'S HOME 2,29.7,3,28,27,25,30,31,91,87,89,92,96,46,43,45,53,47,13,14,13,17,11,22,22,23,24,21,8,6,8,8,9,2017,69498,HUMN INTST CMDY,ABOUT FAMILY,PARAMOUNT,PG-13,11/10/2017 0:00,11,3,1,29651193,35776447,3575,8294,2,NA,NA,103751252,NA
DARK SKIES,8.2,3,13,15,13,12,12,60,61,64,58,58,33,36,31,31,33,3,4,3,4,2,8,10,8,7,7,NA,NA,NA,NA,NA,2013,43099,SUSPNS/THRILLER,SUPERNATURAL,THE WEINSTEIN COMPANY,PG-13,2/22/2013 0:00,2,3,1,8189166,9896687,2313,3540,6,NA,NA,17411930,NA
DAWN OF THE PLANET OF THE APES,72.6,3,31,32,30,27,33,97,99,98,94,96,51,58,59,40,45,16,19,22,10,11,33,40,40,21,27,NA,NA,NA,NA,NA,2014,42642,ACTION DRAMA,SCIENCE FICTION,20TH CENTURY FOX,PG-13,7/11/2014 1:00,7,3,1,72611427,102952844,3967,18304,1,NA,NA,208543795,NA
DEAD MAN DOWN,5.3,3,10,11,12,8,10,52,60,60,39,48,36,37,38,32,38,3,2,5,2,2,10,11,17,6,8,NA,NA,NA,NA,NA,2013,42831,SUSPNS/THRILLER,CRIME THEME,FILMDISTRICT,R,3/8/2013 0:00,3,3,1,5345250,7247340,2188,2443,4,NA,NA,10880926,NA
DEADPOOL,152.2,4,42,50,42,43,33,90,91,94,90,85,63,73,66,58,52,27,40,29,25,14,35,47,40,31,21,23,29,27,23,11,2016,49528,ACTION ADVENTURE,SCIENCE FICTION,20TH CENTURY FOX,R,2/12/2016 0:00,2,4,1,152193853,180394887,3558,42775,1,PRESIDENT'S DAY,NA,363063801,NA
DEEPWATER HORIZON,20.2,3,15,15,16,13,15,70,67,77,62,75,42,46,42,37,44,7,10,7,4,7,12,15,11,8,12,3,3,3,2,3,2016,49617,ACTION DRAMA,TRAGEDY,LIONS GATE FILMS,PG-13,9/30/2016 1:00,9,3,1,20223544,26768388,3259,6205,2,NA,NA,61401673,NA
DELIVER US FROM EVIL (2014),9.7,3,12,11,12,12,11,66,66,69,66,65,30,31,26,35,27,3,3,2,3,2,8,8,7,10,8,NA,NA,NA,NA,NA,2014,45041,HORROR,SUPERNATURAL,SONY SCREEN GEMS,R,7/2/2014 1:00,7,3,1,9740471,20301810,3049,3195,4,FOURTH OF JULY,NA,30577122,NA
DELIVERY MAN,7.9,3,17,16,16,16,18,73,72,76,67,78,35,37,33,34,35,6,5,7,4,9,11,10,9,9,15,NA,NA,NA,NA,NA,2013,43761,HUMN INTST CMDY,ABOUT FAMILY,DISNEY,PG-13,11/22/2013 0:00,11,3,1,7944977,12520542,3036,2617,4,NA,NA,30659817,NA
DESPICABLE ME 2,83.5,3,36,31,28,41,43,97,98,89,100,98,55,49,44,63,61,13,13,8,18,15,21,22,11,22,25,NA,NA,NA,NA,NA,2013,40199,FAMILY,ANIMATED,UNIVERSAL,PG,7/3/2013 1:00,7,3,1,83517315,184483880,3997,20895,1,FOURTH OF JULY,NA,368049635,NA
DESPICABLE ME 3,72.4,3,36,32,30,42,42,97,97,94,99,98,50,46,44,56,58,15,11,9,21,20,24,18,18,34,29,12,10,8,15,15,2017,47095,FAMILY,ANIMATED,UNIVERSAL,PG,6/30/2017 1:00,6,3,1,72434025,115190660,4529,15993,1,FOURTH OF JULY,NA,264597815,NA
DETROIT (2017),7.1,3,14,14,15,13,14,64,66,74,53,58,32,33,34,31,30,4,4,4,3,5,6,5,6,4,7,2,2,3,1,2,2017,69396,HUMN INTST DRMA,CRIME THEME,ANNAPURNA PICTURES,R,8/4/2017 1:00,8,3,2,7125601,9895982,3007,2370,8,NA,1935,16788494,NA
DEVIL'S DUE,9.1,4,9,8,9,12,7,45,48,46,49,38,29,29,30,28,29,4,3,3,7,2,6,6,5,8,4,NA,NA,NA,NA,NA,2014,45160,HORROR,SUPERNATURAL,20TH CENTURY FOX,R,1/17/2014 0:00,1,4,1,9145358,10135963,2544,3595,7,MARTIN LUTHER KING,NA,15818967,NA
DIARY OF A WIMPY KID: THE LONG HAUL,7.1,3,10,11,6,16,12,77,76,69,86,84,24,35,18,31,21,2,3,1,5,3,6,9,3,12,5,2,2,0,2,3,2017,68292,FAMILY,LIVE ACTION,20TH CENTURY FOX,PG,5/19/2017 1:00,5,3,1,7126084,9181961,3157,2257,6,NA,NA,20737440,NA
DIRTY GRANDPA,11.1,3,20,21,20,21,17,84,82,84,87,83,38,45,35,39,34,7,8,6,7,6,14,14,12,19,13,2,3,2,3,2,2016,49407,HUMN INTST CMDY,ROAD FILM,LIONS GATE FILMS,R,1/22/2016 0:00,1,3,1,11111875,15246010,2912,3816,4,NA,NA,35537564,NA
DISNEY'S TOMORROWLAND,42.7,4,31,26,31,31,35,86,78,90,86,90,46,42,48,47,46,11,9,14,11,12,22,20,27,20,21,10,8,13,9,10,2015,44206,FAMILY,SCIENCE FICTION,DISNEY,PG,5/22/2015 1:00,5,4,1,42679200,49385651,4267,10002,1,MEMORIAL DAY,NA,93417865,NA
DIVERGENT,54.6,3,26,18,21,35,28,77,69,73,86,84,49,46,37,60,52,15,8,6,31,17,24,15,13,41,26,NA,NA,NA,NA,NA,2014,43332,ACTION DRAMA,SCIENCE FICTION,LIONS GATE FILMS,PG-13,3/21/2014 1:00,3,3,1,54607747,68760008,3936,13874,1,NA,NA,150832203,NA
DO YOU BELIEVE?,3.6,3,4,4,4,4,5,36,44,36,25,42,27,25,29,20,31,2,2,2,1,4,4,3,3,3,6,NA,NA,NA,NA,NA,2015,62268,HUMN INTST DRMA,SPIRITUALITY,PURE FLIX ENTERTAINMENT,PG-13,3/20/2015 1:00,3,3,1,3591282,4901559,1320,2721,6,NA,NA,12985267,NA
DOCTOR STRANGE,85.1,3,36,37,37,34,34,84,87,87,80,83,59,65,66,53,53,19,24,25,15,12,32,37,37,27,26,16,18,20,13,14,2016,45496,ACTION ADVENTURE,SCIENCE FICTION,DISNEY,PG-13,11/4/2016 1:00,11,3,1,85058311,109982169,3882,21911,1,NA,NA,232630718,NA
DOLPHIN TALE 2,15.9,3,26,23,23,28,30,87,83,85,91,90,33,29,27,38,37,11,6,12,15,11,25,18,23,33,29,NA,NA,NA,NA,NA,2014,45432,FAMILY,LIVE ACTION,WARNER BROS.,PG,9/12/2014 1:00,9,3,1,15873397,18064894,3656,4342,2,NA,NA,42019483,NA
DON JON,8.7,3,19,21,18,16,18,64,66,70,59,62,34,34,31,36,35,7,10,4,7,7,13,16,12,13,13,NA,NA,NA,NA,NA,2013,43879,ROMANTIC COMEDY,NA,RELATIVITY MEDIA,R,9/27/2013 1:00,9,3,1,8677009,11917317,2422,3583,5,NA,NA,24475193,NA
DON'T BREATHE,26.4,3,16,16,12,22,15,57,62,55,63,48,43,43,42,45,42,7,9,4,10,6,11,11,8,16,11,4,5,4,5,3,2016,63611,HORROR,CRIME THEME,SONY SCREEN GEMS,R,8/26/2016 1:00,8,3,1,26411706,35423952,3051,8657,1,NA,NA,89210468,NA
DOPE,6.1,3,15,15,15,16,11,52,56,52,53,47,32,35,29,38,23,4,5,3,6,2,9,12,6,13,5,4,5,3,6,3,2015,62539,HUMN INTST CMDY,COMING-OF-AGE,OPEN ROAD FILMS,R,6/19/2015 1:00,6,3,1,6100010,8914378,2002,3047,5,NA,NA,17474107,NA
DOWNSIZING,7.7,4,14,10,15,13,16,72,66,78,61,73,36,39,35,39,36,4,2,5,4,6,7,5,7,5,9,2,1,3,1,3,2017,68969,HUMN INTST CMDY,SCIENCE FICTION,PARAMOUNT,R,12/22/2017 0:00,12,4,1,7670130,14481402,2668,2875,7,CHRISTMAS,0,24418729,NA
DRACULA UNTOLD,23.5,3,24,27,28,21,21,79,81,87,72,75,47,54,48,41,43,10,11,12,9,7,15,17,18,14,11,NA,NA,NA,NA,NA,2014,45039,ACTION DRAMA,PERIOD,UNIVERSAL,PG-13,10/10/2014 1:00,10,3,1,23514615,30846090,2887,8145,2,COLUMBUS DAY,NA,55942830,NA
DRAFT DAY,9.8,3,11,11,12,9,11,67,65,82,51,69,33,35,36,25,35,8,10,12,1,5,14,19,21,4,12,NA,NA,NA,NA,NA,2014,44880,HUMN INTST DRMA,SPORTS,LIONS GATE FILMS,PG-13,4/11/2014 1:00,4,3,1,9783603,13647787,2781,3518,4,NA,NA,28831145,NA
DUMB AND DUMBER TO,36.1,3,35,35,36,33,37,96,98,99,93,94,46,55,48,46,35,13,19,15,10,9,29,40,29,26,22,NA,NA,NA,NA,NA,2014,46655,ZANY COMEDY,BUDDY,UNIVERSAL,PG-13,11/14/2014 0:00,11,3,1,36111775,43652900,3154,11450,1,NA,NA,86193650,NA
DUNKIRK,50.5,3,27,24,31,24,26,70,68,81,59,63,42,43,47,37,37,11,11,15,6,9,15,14,18,12,12,9,11,12,6,7,2017,64816,ACTION DRAMA,WAR,WARNER BROS.,PG-13,7/21/2017 1:00,7,3,1,50513488,74706220,3720,13579,1,NA,NA,188042171,NA
EARTH TO ECHO,8.4,3,18,16,16,23,17,69,68,68,74,66,25,27,23,24,30,3,2,2,4,4,7,4,7,9,10,NA,NA,NA,NA,NA,2014,44546,FAMILY,LIVE ACTION,RELATIVITY MEDIA,PG,7/2/2014 1:00,7,3,1,8364658,19097539,3230,2590,6,FOURTH OF JULY,NA,38933207,NA
EDDIE THE EAGLE,6.1,3,12,9,11,14,13,62,61,65,59,65,26,27,22,27,26,3,4,5,2,3,7,6,7,5,10,1,0,1,1,1,2016,34960,HUMN INTST CMDY,SPORTS,20TH CENTURY FOX,PG-13,2/26/2016 0:00,2,3,1,6084682,7761132,2042,2980,6,NA,NA,15785632,NA
EDGE OF TOMORROW,28.8,3,17,16,20,13,19,76,78,83,66,77,39,43,47,27,37,10,11,14,5,8,14,15,21,7,14,NA,NA,NA,NA,NA,2014,42354,ACTION DRAMA,SCIENCE FICTION,WARNER BROS.,PG-13,6/6/2014 1:00,6,3,1,28760246,40474483,3490,8241,3,NA,NA,100189501,NA
ELYSIUM,29.8,3,19,19,25,15,16,73,78,81,60,71,46,46,52,39,44,13,15,19,6,11,16,18,23,9,13,NA,NA,NA,NA,NA,2013,39143,ACTION DRAMA,SCIENCE FICTION,COLUMBIA PICTURES,R,8/9/2013 1:00,8,3,1,29807393,42314306,3284,9077,1,NA,NA,93050117,NA
ENDER'S GAME,27,3,21,22,21,22,19,75,76,81,71,71,41,40,48,39,39,8,10,6,7,5,20,19,27,19,14,NA,NA,NA,NA,NA,2013,41191,ACTION DRAMA,SCIENCE FICTION,LIONS GATE FILMS,PG-13,11/1/2013 1:00,11,3,1,27017351,33751300,3407,7930,1,NA,NA,61656849,NA
ENDLESS LOVE (2014),14.4,4,20,15,14,29,22,55,43,43,73,61,31,17,20,43,33,4,1,0,12,5,8,3,2,18,8,NA,NA,NA,NA,NA,2014,45241,ROMANTIC DRAMA,REMAKE,UNIVERSAL,PG-13,2/14/2014 0:00,2,4,1,14407605,15841255,2896,4975,5,PRESIDENT'S DAY,NA,23393765,NA
ENTOURAGE,10.3,3,23,24,25,20,23,76,75,83,66,79,24,27,28,18,25,5,4,9,2,5,6,6,12,2,6,2,2,5,0,3,2015,46674,HUMN INTST CMDY,ENSEMBLE CAST,WARNER BROS.,R,6/3/2015 1:00,6,3,1,10283250,21530472,3108,3309,4,NA,NA,32361416,NA
EPIC,42.8,4,26,25,22,27,30,73,67,69,76,80,35,27,29,39,41,4,2,2,7,5,10,6,5,18,13,NA,NA,NA,NA,NA,2013,40546,FAMILY,ANIMATED,20TH CENTURY FOX,PG,5/24/2013 1:00,5,4,1,42820971,48761181,3882,11031,4,MEMORIAL DAY,NA,107515297,NA
ESCAPE FROM PLANET EARTH,21.1,4,14,14,13,13,15,65,68,69,65,56,36,40,36,31,37,4,5,5,4,4,12,17,12,12,10,NA,NA,NA,NA,NA,2013,40551,FAMILY,ANIMATED,THE WEINSTEIN COMPANY,PG,2/15/2013 0:00,2,4,1,21101976,24130662,3288,6418,4,PRESIDENT'S DAY,NA,57011847,NA
ESCAPE PLAN,9.9,3,11,14,11,10,8,70,74,80,60,65,39,46,39,31,32,5,8,6,3,3,14,20,18,7,10,NA,NA,NA,NA,NA,2013,43315,ACTION DRAMA,SCIENCE FICTION,LIONS GATE FILMS,R,10/18/2013 1:00,10,3,1,9885732,13083582,2883,3429,4,NA,NA,25121291,NA
EVEREST (2015),13.2,3,21,21,23,18,21,78,81,86,69,75,37,41,38,33,39,7,11,6,5,5,12,14,15,8,10,6,8,6,3,6,2015,47199,ACTION DRAMA,TRAGEDY,UNIVERSAL,PG-13,9/25/2015 1:00,9,3,2,13242895,17631505,3006,4405,4,NA,83,43247140,NA
"EVERYTHING, EVERYTHING",11.7,3,12,8,7,26,13,44,43,35,58,48,34,33,27,45,33,4,2,1,10,6,7,4,2,18,10,3,1,1,9,3,2017,68974,ROMANTIC DRAMA,TEEN,WARNER BROS.,PG-13,5/19/2017 1:00,5,3,1,11727390,15356113,2801,4187,3,NA,NA,34091886,NA
EVIL DEAD,25.8,3,23,25,25,22,22,60,64,65,56,54,39,44,39,38,34,9,11,10,10,6,13,16,16,14,8,NA,NA,NA,NA,NA,2013,41503,HORROR,SUPERNATURAL,SONY PICTURES,R,4/5/2013 1:00,4,3,1,25775847,32041782,3025,8521,1,NA,NA,54239856,NA
EXODUS: GODS AND KINGS,24.1,3,19,18,22,17,19,78,77,91,68,76,38,36,46,28,39,8,5,15,5,9,22,19,35,13,21,NA,NA,NA,NA,NA,2014,45335,ACTION DRAMA,PERIOD,20TH CENTURY FOX,PG-13,12/12/2014 0:00,12,3,1,24115934,30836511,3503,6884,1,NA,NA,65007045,NA
FANTASTIC BEASTS AND WHERE TO FIND THEM,74.4,3,31,27,27,34,35,84,83,87,81,83,64,63,59,71,65,22,18,19,27,27,29,24,25,33,32,12,11,8,14,14,2016,48377,ACTION ADVENTURE,LIVE ACTION,WARNER BROS.,PG-13,11/18/2016 0:00,11,3,1,74403387,110927553,4144,17954,1,NA,NA,234018657,NA
FANTASTIC FOUR (2015),25.7,3,34,37,34,33,31,93,95,97,91,91,52,55,55,48,48,14,16,15,13,12,21,25,25,20,16,24,25,25,24,21,2015,44053,ACTION ADVENTURE,SUPERHERO,20TH CENTURY FOX,PG-13,8/7/2015 1:00,8,3,1,25685737,33961218,3995,6429,2,NA,NA,56114221,NA
FAST & FURIOUS 6,117,4,33,36,33,33,32,94,95,94,90,95,48,53,47,46,44,16,19,16,13,17,23,29,23,17,23,NA,NA,NA,NA,NA,2013,40304,ACTION ADVENTURE,CRIME THEME,UNIVERSAL,PG-13,5/24/2013 1:00,5,4,1,117036995,135839525,3658,31995,1,MEMORIAL DAY,NA,238673370,NA
FATHER FIGURES,5.5,4,9,7,8,9,12,66,59,69,61,70,36,38,30,38,40,4,6,3,3,5,6,8,4,4,7,1,1,1,2,1,2017,64966,HUMN INTST CMDY,ABOUT FAMILY,WARNER BROS.,R,12/22/2017 0:00,12,4,1,5479518,10544287,2902,1888,9,CHRISTMAS,0,17413119,NA
FENCES,11.6,4,14,11,16,11,19,59,55,66,49,66,38,32,40,38,42,7,3,8,5,9,7,5,8,5,12,2,1,4,2,4,2016,67028,HUMN INTST DRMA,ABOUT FAMILY,PARAMOUNT,PG-13,12/23/2016 0:00,12,4,2,11600170,19510629,2233,5195,7,CHRISTMAS,8860,57642961,NA
FERDINAND,13.4,3,19,16,15,18,26,69,67,67,65,75,35,33,33,39,38,5,3,4,4,7,13,8,10,16,19,4,2,4,3,6,2017,45182,FAMILY,ANIMATED,20TH CENTURY FOX,PG,12/15/2017 0:00,12,3,1,13401586,35507335,3621,3701,2,NA,0,80551057,NA
FIFTY SHADES DARKER,46.6,3,29,21,26,33,35,88,78,85,92,97,31,23,26,35,37,11,5,8,17,16,15,8,10,21,19,8,4,5,12,13,2017,63444,ROMANTIC DRAMA,EROTIC,UNIVERSAL,R,2/10/2017 0:00,2,3,1,46607250,68696455,3710,12563,2,NA,NA,114376885,NA
FIFTY SHADES OF BLACK,5.9,3,14,13,13,15,16,75,72,77,75,78,32,33,28,37,28,4,3,3,5,6,7,7,4,8,8,3,2,3,2,3,2016,63627,ZANY COMEDY,SPOOF,OPEN ROAD FILMS,R,1/29/2016 0:00,1,3,1,5900528,7290620,2075,2844,10,NA,NA,11675178,NA
